NIVEL_ACCESO,GRADO_MERCADO,SUPERFICIE_HA,DEPARTAMEN,PROVINCIA,DISTRITO
ALTA,OPTIMA,0.44,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.61,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.94,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,9.38,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.28,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.94,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,3.67,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.31,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.31,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.46,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.19,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.41,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.23,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.92,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,2.12,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.20,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.27,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.86,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.01,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.91,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.13,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.87,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.26,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.53,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.81,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,4.23,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.18,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,3.66,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.41,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.37,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,3.57,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,2.33,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.76,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.17,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.18,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.07,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.21,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.42,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.03,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,2.56,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.95,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,10.86,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.09,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.21,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.38,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,4.96,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,4.10,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.47,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.61,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,1.00,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.80,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,HUACAYBAMBA,COCHABAMBA
MEDIA,RIESGO / BAJA,751.00,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,ALTO POTENCIAL,1410.17,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,4.20,HUANUCO,HUACAYBAMBA,HUACAYBAMBA
ALTA,OPTIMA,14.27,HUANUCO,HUACAYBAMBA,HUACAYBAMBA
ALTA,OPTIMA,0.46,HUANUCO,HUACAYBAMBA,HUACAYBAMBA
