APTITUD_PI,NOM_DEP,NOM_PROV,NOM_DIST,SUPERFICIE_HA
PROTECCION,HUANUCO,LAURICOCHA,BAÑOS,160.8460724
PROTECCION,JUNIN,JAUJA,POMACANCHA,7854.814591
PROTECCION,SAN MARTIN,RIOJA,YORONGOS,1223.702709
PROTECCION,JUNIN,CONCEPCION,COCHAS,10076.28359
PROTECCION,JUNIN,CONCEPCION,MARISCAL CASTILLA,4971.697115
FORESTAL PRODUCTIVO,SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,9299.792897
OTROS / SIN CLASIFICAR,HUANUCO,HUACAYBAMBA,CANCHABAMBA,2.944831208
PROTECCION,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,3415.68226
PROTECCION,ANCASH,CARHUAZ,PARIAHUANCA,1192.496094
PROTECCION,HUANUCO,HUANUCO,YARUMAYO,2074.794279
FORESTAL PRODUCTIVO,SAN MARTIN,SAN MARTIN,MORALES,4304.321397
PROTECCION,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,10635.1699
PECUARIO,HUANUCO,HUANUCO,PILLCO MARCA,1146.823291
PROTECCION,JUNIN,SATIPO,PANGOA,337928.2723
PROTECCION,ANCASH,CORONGO,YANAC,4680.166387
PROTECCION,CAJAMARCA,CAJAMARCA,ASUNCION,4393.508855
AGRICOLA,ANCASH,CARHUAZ,TINCO,680.3026846
PROTECCION,ANCASH,HUARAZ,PARIACOTO,16368.97409
PECUARIO,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,8349.745795
PROTECCION,CAJAMARCA,SAN IGNACIO,CHIRINOS,9239.51823
FORESTAL PRODUCTIVO,ANCASH,BOLOGNESI,CHIQUIAN,5059.333746
FORESTAL PRODUCTIVO,CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,102.1530706
AGRICOLA,ANCASH,HUAYLAS,MATO,508.4541749
AGRICOLA,ANCASH,HUAYLAS,PUEBLO LIBRE,1082.977864
PECUARIO,CAJAMARCA,CONTUMAZA,CONTUMAZA,16952.09152
